Postovani, uskoro cete dobiti podesavanja za koriscenje MONDO wap portala i slanje multimedijalnih MMS poruka. Sacuvajte ih u svom mobilnom telefonu. Vasa mt:s|0
[17:46, 10/28/2014] stefanbacevic91: Dolazis na fax? [17:46, 10/28/2014] stefanbacevic91: Ja sam malo poranio [17:46, 10/28/2014] stefanbacevVec sam kod vuka|0
Tu sam za koji min, vuk, des ti?|0
Kod jagiceve|0
Postovani, uskoro cete dobiti podesavanja za koriscenje MONDO wap portala i slanje multimedijalnih MMS poruka. Sacuvajte ih u svom mobilnom telefonu. Vasa mt:s|0
Promocija Besplatno je aktivirana 28-10-2014 u 21:41 i vazi 7 dana. Preostali iznos Internet saobracaja po maksimalnoj brzini mozete proveriti na *105#.|0
Brankaaaa ajmo u kafanu u petak? :D|1
ae! :D cemo na fb da skupljamo ekipu? u koju cemo? :))))|1
Ko god bude hteo dobrodosao je. :D|1
Sto se kafane tice mozemo u onu 'sa razlogom' cuo sam da ce biti ziva svirka. :) Zvacu ih danas da pitam i rezervisem astal. :D|1
Propusten poziv:  0631778157 14:13h 29.10.2014  Mobilni telefon uz novi ugovor vec od 1 din! Info: mts.rs|1
Brankaaaa ja sam rezervisao sto, da znas. :D Kazu bice neki ozvuceni tamburasi. XD|1
Cao Viktore, rekla mi je Adrijana da dolazis uskoro kod nje. Da li bih mogla da idem i ja sa tobom? Brana|0
jel si u pancevu|0
jesam, u ponedeljak uvece sam stigla|0
zovem te veceras|0
Uzmi EXTRA! Za 199 din dobijas 50min za domace, a zatim 500min za mts pozive i 500SMS u Srbiji, na 30 dana! Pozovi *100# ili posalji EXTRA na 687. Odjava 6560|1
Korisnik +381631778157 je ponovo dostupan.|0
Potrosili ste 50% kolicine podataka za prenos po maksimalnoj brzini. Na *100# kupite dodatak Neograniceni Internet i nastavite sa prenosom podataka po maksimalnoj brzini.|0
Brankaaaaa oko 10 sam kod tebe pa cemo do kafane, a posle gde god zaglavimo. :D|1
eeeee strava! sjajno, vidimo se!|1
moramo da budemo tamo pre 10 zbog rezervacije...|0
Ne daj se sekirati, imam coveka unutra cuvace nam mesto, valjda. :D|1
Propusten poziv:  0643057212 22:16h 31.10.2014  iPhone u mts ponudi - uz novi ugovor vec od 1 din!|1
Potrosili ste 80% kolicine podataka za prenos po maksimalnoj brzini. Na *100# kupite dodatak Neograniceni Internet i nastavite sa prenosom podataka po maksimalnoj brzini.|0
Vitkore, javis mi kad si slobodan da te zvrcnem?|0
Upravo memorisem tvoj broj haha zvrcni kada hoces|0
do mene veceras?|0
Brankaaaa, necu ni ja moci veceras da navratim. :( Rano sam ustao i vec me sad razbija koliko mi se spava. Sutra cu da banem sigurno. Nadam se da se ne ljutis? :(|-1
Propusten poziv:  0690306704 09:51h 02.11.2014  iPhone u mts ponudi - uz novi ugovor vec od 1 din!|1
Propusten poziv:  0690306704 09:53h 02.11.2014  iPhone u mts ponudi - uz novi ugovor vec od 1 din!|1
Promocija Besplatno vam istice 04.11.2014. u 24:00|0
u biblioteci sam, ako treba da te pozovem(nemas kredita il vec tako nesto) cimni me ponovo ;)|1
ako moze preko poruke to mi je zgodnije trenutno|0
:)|1
ma ja u gradu pa reko da vidim dA ne zavrsavas slucajno|0
:D necu pre 7 :(|-1
hvatam bus u 7 ti?|0
ili taj ili sledeci ;)|1
gago aj ipak pola 9?|0
e zvaosime?|0
Jesam, hteo sam da te pitam kada se okuljamo, ali se Sole u medjuvremenu javio. :)|1
ja cu doci nesto pre 2 direktno na groblje. da znate da me ne cekate|0
Ok|0
na groblju sam za 10ak min, me sacekate ispred?|0
Promocija Besplatno vam je upravo istekla. Pratite aktuelne promocije u USSD meniju. Vas mt:s|0
Promocija Besplatno je aktivirana 06-11-2014 u 14:41 i vazi 7 dana. Preostali iznos Internet saobracaja po maksimalnoj brzini mozete proveriti na *105#.|0
Vas kredit je dopunjen sa 150,00 din i vazi do 06.11.2015. Platite po dobijanju slipa. TID:11100720428393. Kupite nove Uzmi promocije na *100#. Info mts.rs/uzmi|0
Hoces oko 10 i 10 u setnju po misi? :-)|1
Potrosili ste 50% kolicine podataka za prenos po maksimalnoj brzini. Na *100# kupite dodatak Neograniceni Internet i nastavite sa prenosom podataka po maksimalnoj brzini.|0
Potrosili ste 80% kolicine podataka za prenos po maksimalnoj brzini. Na *100# kupite dodatak Neograniceni Internet i nastavite sa prenosom podataka po maksimalnoj brzini.|0
