teary_happy,wink_w_nose,happy_closed_wo_nose,sads_wo_nose,curly_s,wink_wo_nose,smiley_w_nose,skeptics_wo_nose,surprised_wo_nose,tongue_wo_nose_small,kiss_w_nose,skeptic_wo_nose,oh_no,happy_w_nose,smiley_cry_wo_nose,kiss_wo_nose,happy_wo_nose,heart,tongue_wo_nose,cry_wo_nose,happies_wo_nose,sad_wo_nose,tongues_w_nose,skeptic_w_nose,kisses_wo_nose,smiley_wo_nose,smiley_closed_wo_nose,smiley_w_nose_reverse,tongues_wo_nose,tongue_wo_nose_small_closed,sad_w_nose,sad,wink,smiley,happy,kiss,tongue,skeptic,surprised,dot,umlauts,ne_joined_verb,non_capital_sent,len,punctuation,comma,alpha,consecutive_characters,exclamation_mark,uppercase,bad_dot,spaces_after_punctuation,question_mark,diacritics,bad_question,number,cyrillic,lowercase,vib,isklj,jbt,gl,dipl,di,pon,poz,al,dja,faceu,komp,fix,kred,vrv,narafski,wcu,pvo,jes,simpa,cao,zab,bani,juhu,por,pozd,diste,tnx,dr,ing,dog,najvrv,jem,jelde,pozz,ae,mjok,aj,bg,fak,esi,itd,tj,dejt,zvrcni,des,dje,pliz,fbu,rodj,min,eo,kul,smthn,sept,net,fejsu,tel,deste,cimni,fala,np,sec,max,vcs,drz,fax,dz,bzvz,mos,cet,koa,koj,izvolte,vamo,mob,stv,zv,ej,fb,npr,wca,god,desi,dop,kolok,doca,jbg,cetv,vs,disi,k,nzm,ustv,alg,pls,cek,faxa,ofkors,bga,msm,dadada,zvrc,zad,inz,takm,ok,faxu,il,jel,nmg,ng,odg,hej,rlab,ned,exclamation_mark_len_ratio,question_mark_len_ratio,dot_len_ratio,comma_len_ratio,punctuation_len_ratio,alpha_len_ratio,diacritics_len_ratio,umlauts_len_ratio,uppercase_len_ratio,lowercase_len_ratio,number_len_ratio,uppercase_lowercase_ratio,punctuation_alpha_ratio,number_alpha_ratio,cyrillic_len_ratio,cyrillic_alpha_ratio,class
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,159,4,1,133,1,0,11,0,3,0,0,0,0,0,122,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.012578616352201259,0.006289308176100629,0.025157232704402517,0.8364779874213837,0.0,0.0,0.06918238993710692,0.7672955974842768,0.0,0.09016393442622951,0.03007518796992481,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,21,3,78,0,0,3,0,9,1,0,0,40,0,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.006369426751592357,0.0,0.01910828025477707,0.1337579617834395,0.4968152866242038,0.0,0.0,0.01910828025477707,0.47770700636942676,0.25477707006369427,0.04,0.2692307692307692,0.5128205128205128,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,2,22,0,0,1,0,2,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03125,0.0,0.0625,0.09375,0.6875,0.0,0.0,0.03125,0.65625,0.0,0.047619047619047616,0.13636363636363635,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.8333333333333334,0.0,0.1,0.0,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,159,4,1,133,1,0,11,0,3,0,0,0,0,0,122,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.012578616352201259,0.006289308176100629,0.025157232704402517,0.8364779874213837,0.0,0.0,0.06918238993710692,0.7672955974842768,0.0,0.09016393442622951,0.03007518796992481,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,152,7,0,108,0,0,4,0,1,0,0,0,16,0,104,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.013157894736842105,0.0,0.046052631578947366,0.7105263157894737,0.0,0.0,0.02631578947368421,0.6842105263157895,0.10526315789473684,0.038461538461538464,0.06481481481481481,0.14814814814814814,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,2,0,27,1,0,2,0,1,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02857142857142857,0.0,0.0,0.05714285714285714,0.7714285714285715,0.0,0.0,0.05714285714285714,0.7142857142857143,0.0,0.08,0.07407407407407407,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56,9,0,36,1,1,1,0,3,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857142857142856,0.03571428571428571,0.0,0.0,0.16071428571428573,0.6428571428571429,0.0,0.0,0.017857142857142856,0.625,0.0,0.02857142857142857,0.25,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,34,2,0,26,0,0,2,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.029411764705882353,0.0,0.058823529411764705,0.7647058823529411,0.0,0.0,0.058823529411764705,0.7058823529411765,0.0,0.08333333333333333,0.07692307692307693,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,127,7,0,95,0,0,3,0,4,0,0,0,0,0,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.015748031496062992,0.0,0.05511811023622047,0.7480314960629921,0.0,0.0,0.023622047244094488,0.7244094488188977,0.0,0.03260869565217391,0.07368421052631578,0.0,0.0,0.0,1
